"Story","Title","Result","Date","Stability","Duration (s)"
"Se requiere hacer pruebas a la parte de la tienda de DemoBlaze","Agregar producto a la cesta de compras","ERROR","2023-09-15T02:58:42.1661449-05:00[America/Bogota]","0.0","7.38"
"Se requiere hacer pruebas a la parte de la tienda de DemoBlaze","Agregar producto a la cesta de compras","ERROR","2023-09-15T02:58:42.1661449-05:00[America/Bogota]","0.0","7.38"
"Se requiere hacer pruebas a la parte de la tienda de DemoBlaze","Agregar producto a la cesta de compras","ERROR","2023-09-15T02:58:42.1661449-05:00[America/Bogota]","0.0","7.38"
